execution_time,side,quantity,price,product,profit
2025-03-24 16:00:00+01:00,buy,0.5,95.24,2025-03-25 00:45:00+01:00,-11.905
2025-03-24 16:00:00+01:00,buy,0.5,93.69,2025-03-25 01:45:00+01:00,-11.71125
2025-03-24 16:00:00+01:00,buy,0.3255814,95.77,2025-03-25 02:45:00+01:00,-7.7952326695
2025-03-24 16:00:00+01:00,buy,0.5,92.25,2025-03-25 04:00:00+01:00,-11.53125
2025-03-24 16:00:00+01:00,buy,0.5,95.01,2025-03-25 05:00:00+01:00,-11.87625
2025-03-24 16:00:00+01:00,sell,0.5,113.5,2025-03-25 06:00:00+01:00,14.1875
2025-03-24 16:00:00+01:00,sell,0.5,119.5,2025-03-25 06:15:00+01:00,14.9375
2025-03-24 16:00:00+01:00,sell,0.5,119.0,2025-03-25 08:30:00+01:00,14.875
2025-03-24 16:00:00+01:00,sell,0.5,131.23,2025-03-25 09:00:00+01:00,16.40375
2025-03-24 16:00:00+01:00,buy,0.5,69.01,2025-03-25 10:45:00+01:00,-8.62625
2025-03-24 16:00:00+01:00,sell,0.43,94.67,2025-03-25 11:00:00+01:00,10.177025
2025-03-24 16:00:00+01:00,buy,0.5,64.63,2025-03-25 11:45:00+01:00,-8.07875
2025-03-24 16:00:00+01:00,buy,0.5,69.1,2025-03-25 12:15:00+01:00,-8.6375
2025-03-24 16:00:00+01:00,buy,0.5,64.95,2025-03-25 12:30:00+01:00,-8.11875
2025-03-24 16:00:00+01:00,buy,0.5,59.74,2025-03-25 12:45:00+01:00,-7.4675
2025-03-24 16:00:00+01:00,buy,0.5,73.15,2025-03-25 13:00:00+01:00,-9.14375
2025-03-24 16:00:00+01:00,buy,0.5,66.54,2025-03-25 13:15:00+01:00,-8.3175
2025-03-24 16:00:00+01:00,buy,0.5,68.01,2025-03-25 13:30:00+01:00,-8.50125
2025-03-24 16:00:00+01:00,buy,0.5,66.44,2025-03-25 14:00:00+01:00,-8.305
2025-03-24 16:00:00+01:00,buy,0.31331093,75.11,2025-03-25 14:15:00+01:00,-5.883195988074999
