execution_time,side,quantity,price,product,profit
2025-01-31 23:45:00+01:00,buy,1.0,105.32,2025-02-01 00:30:00+01:00,-26.33
2025-02-01 00:00:00+01:00,buy,1.0,98.66,2025-02-01 00:15:00+01:00,-24.665
2025-02-01 00:00:00+01:00,buy,1.0,100.66,2025-02-01 00:45:00+01:00,-25.165
2025-02-01 00:30:00+01:00,buy,0.33860916,104.92,2025-02-01 01:00:00+01:00,-8.8817182668
2025-02-01 00:45:00+01:00,buy,0.66139084,82.07,2025-02-01 01:00:00+01:00,-13.5700865597
2025-02-01 00:45:00+01:00,buy,0.33860916,99.92,2025-02-01 01:15:00+01:00,-8.4584568168
2025-02-01 01:00:00+01:00,sell,3.6264595e-09,103.37,2025-02-01 01:15:00+01:00,9.371677962875001e-08
2025-02-01 02:00:00+01:00,sell,1.0,143.33,2025-02-01 02:15:00+01:00,35.8325
2025-02-01 02:00:00+01:00,sell,1.0,141.56,2025-02-01 02:30:00+01:00,35.39
2025-02-01 02:15:00+01:00,buy,0.3,136.48,2025-02-01 02:30:00+01:00,-10.235999999999999
2025-02-01 03:00:00+01:00,sell,1.0,140.23,2025-02-01 03:15:00+01:00,35.0575
2025-02-01 03:00:00+01:00,sell,0.7,137.32,2025-02-01 03:45:00+01:00,24.031
2025-02-01 03:15:00+01:00,sell,0.28781778,142.43,2025-02-01 03:45:00+01:00,10.248471601350001
2025-02-01 03:15:00+01:00,buy,1.0,109.62,2025-02-01 04:00:00+01:00,-27.405
2025-02-01 03:30:00+01:00,sell,2.917395e-09,148.11,2025-02-01 03:45:00+01:00,1.080238433625e-07
2025-02-01 03:30:00+01:00,sell,1.0,117.11,2025-02-01 04:00:00+01:00,29.2775
2025-02-01 03:30:00+01:00,buy,1.0,108.65,2025-02-01 04:15:00+01:00,-27.1625
2025-02-01 03:45:00+01:00,buy,0.33860916,113.0,2025-02-01 04:00:00+01:00,-9.56570877
2025-02-01 03:45:00+01:00,buy,1.0,107.4,2025-02-01 04:30:00+01:00,-26.85
2025-02-01 04:00:00+01:00,sell,1.0,120.62,2025-02-01 04:15:00+01:00,30.155
2025-02-01 04:15:00+01:00,sell,1.0,127.35,2025-02-01 04:30:00+01:00,31.8375
2025-02-01 04:15:00+01:00,buy,1.0,112.96,2025-02-01 05:00:00+01:00,-28.24
